full_name,a,e,i,om,w,q,ad,per_y,data_arc,condition_code,n_obs_used,n_del_obs_used,n_dop_obs_used,H,diameter,extent,albedo,rot_per,GM,BV,UB,IR,spec_B,spec_T
"  1474 Beira (1935 QY)",2.731538071859739,.4912010919324567,26.68631938810758,323.5074496355927,84.1180677209572,1.389803588307158,4.073272555412321,4.51459804650616,28676,0,526,,,12.66,,,,4.184,,.620,.245,,B,FX
"  1477 Bonsdorffia (1938 CC)",3.200091943493321,.2757873377207474,15.71499162358194,320.6648537598967,103.3046174526023,2.317547105935686,4.082636781050956,5.72468885225174,27571,0,779,,,11.59,28.10,,0.0517,7.8,,.733,,,,XU
"  1479 Inkeri (1938 DE)",2.67682298011536,.1917466332127952,7.303046804148733,18.12371708692678,79.72225582815094,2.163551185971599,3.190094774259121,4.37963260446475,32805,0,1161,,,11.8,,,,660.,,.699,,,,XFU
"  1480 Aunus (1938 DK)",2.202578381167495,.1088062937977307,4.861101015175968,63.70365164136394,64.89947707755823,1.962923990713654,2.442232771621335,3.26892728845817,27506,0,1186,,,13.1,,,,,,,,,S,
"  1483 Hakoila (1938 DJ1)",2.718081155816479,.1767363318517887,4.495632456639332,71.91448654521297,87.8171508072227,2.237697462662004,3.198464848970953,4.48127743405897,27769,0,1312,,,11.8,,,,12.,,,,,Sq,
"  1484 Postrema (1938 HC)",2.739778631279874,.2042573291577101,17.30578061469461,72.81597830449832,126.5837795221912,2.18015876557128,3.299398496988468,4.5350430432109,29606,0,974,,,10.8,43.18,,0.0137,12.1923,,,,,B,
"  1490 Limpopo (1936 LB)",2.353241930713799,.1547511658567638,10.01974501876149,254.3059685002956,90.8982134799702,1.989074998392817,2.717408863034781,3.61000721180936,30321,0,1163,,,12.00,18.58,,0.0811,6.647,,,,,Xc,
"  1493 Sigrid (1938 QB)",2.429204713806484,.2022479565847882,2.583717814184303,330.656589826726,1.139567703116569,1.937903024312987,2.92050640329998,3.78620718277122,38207,0,1467,,,11.99,24.03,,0.0489,43.296,,.643,.225,,Xc,F
"  1494 Savo (1938 SJ)",2.190456676295168,.1313415159011626,2.455063853124998,195.0384261373831,184.5671950326804,1.902758775914739,2.478154576675598,3.24197905095595,27506,0,1457,,,12.3,,,,5.35011,,,,,Sa,
"  1500 Jyvaskyla (1938 UH)",2.24216506420752,.1899416606775873,7.437898333183394,19.93538501071755,16.90706486870169,1.816284508398674,2.668045620016365,3.35745015952077,27556,0,1076,,,13.06,,,,,,.920,.520,,,S
"  1502 Arenda (1938 WB)",2.732513210068233,.08703783092402316,4.090599950356535,204.3746832617291,274.680560546684,2.494681187292654,2.970345232843812,4.51701577773335,38602,0,1443,,,11.5,33.22,,0.0367,45.8,,,,,Xc,
"  1504 Lappeenranta (1939 FM)",2.399569365841998,.157396278238922,11.04859934350927,94.90392140751533,50.9262624985321,2.021886078282337,2.777252653401658,3.71713355654114,27107,0,996,,,11.88,12.70,,0.1939,15.190,,.880,.418,,,S
"  1508 Kemi (1938 UP)",2.770832609435277,.4173685802276428,28.72451744130784,14.33103436495642,92.84021299192914,1.614374137186821,3.927291081683733,4.61236467644381,28543,0,720,,,12.03,,,,9.196,,.645,.249,,C,BCF
"  1509 Esclangona (1938 YG)",1.866345858906755,.03221587080930213,22.32392387378205,283.5458059779079,268.0453837066682,1.806219901830739,1.926471815982771,2.54974291365826,27178,0,754,,,12.64,8.17,,0.2327,3.25283,,.894,.472,,,S
"  1510 Charlois (1939 DC)",2.672463711497134,.1471446950416702,11.82109054574478,331.5053476757454,164.9604983701148,2.279224853658958,3.065702569335309,4.36893846066273,27162,0,1059,,,11.5,23.80,,0.1033,5.866,,,,,C,
"  1512 Oulu (1939 FE)",3.948604919756911,.1495476574716137,6.490725178499691,10.2549805650914,240.7239170504667,3.358100303726376,4.539109535787446,7.84645928774414,27388,0,1483,,,9.62,82.72,,0.0366,132.3,,.715,.190,,,P
"  1517 Beograd (1938 FD)",2.715962725709746,.0445547284220686,5.277600526119443,63.90014414757987,232.4551206013379,2.594953744061287,2.836971707358205,4.47603949825727,30068,0,1379,,,11.10,36.16,,0.0491,6.943,,,,,X,
"  1520 Imatra (1938 UY)",3.109962252922414,.09843707246090072,15.23873798601373,253.479503812897,116.3835725240894,2.803826673280824,3.416097832564003,5.48454847074886,26904,0,968,,,10.3,53.61,,0.0615,18.635,,,,,C,
"  1529 Oterma (1938 BC)",3.995545896070277,.2014671529600628,9.058152173933713,100.6152754329526,295.2037254203822,3.190574639867735,4.800517152272818,7.98679224912894,27599,0,1118,,,10.05,,,,15.75,,.764,.386,,,P:
"  1532 Inari (1938 SM)",3.003324905845486,.0529723486652375,8.77898059637065,330.6498313772145,122.7408315088617,2.844231731778048,3.162418079912925,5.2048914753095,28454,0,1138,,,10.7,28.10,,0.0562,25.,,.840,.360,,,S
"  1533 Saimaa (1939 BD)",3.012569845065509,.03662745183909487,10.70872139310721,156.7481789836428,9.378476989276761,2.902227088153463,3.122912601977555,5.22894277754541,28058,0,1429,,,10.82,26.13,,0.1216,7.08,,.790,.450,,,S
"  1534 Nasi (1939 BK)",2.729355219140103,.2513604187530715,9.789676281782775,62.18035771260472,42.94419510275397,2.043303348331166,3.415407089949041,4.50918750491398,32345,0,975,,,11.8,22.12,,0.0754,7.94,,,,,Cgh,
"  1539 Borrelly (1940 UB)",3.152065391888589,.1860191570488196,1.726945062030648,142.9456820245576,251.0618281474701,2.565720844726716,3.738409939050461,5.59630054972052,33052,0,1532,,,11.1,,,,,,,,,B,
"  1541 Estonia (1939 CK)",2.768932945738731,.06860234486561434,4.874960026621228,1.459558976084716,192.7598220974156,2.578977652885401,2.958888238592061,4.60762218149054,32725,0,1417,,,11.3,20.20,,0.1434,,,,,,Xc,
"  1542 Schalen (1941 QE)",3.098618950165977,.1137173045131095,2.761109944339541,211.79619899523,164.5640382881965,2.746252355439861,3.450985544892093,5.45456926590383,42113,0,1487,,,10.5,45.19,,0.0656,7.516,,,,,D,
"  1545 Thernoe (1941 UW)",2.771135295027928,.2376068274261671,2.953482793750482,51.81824480859159,90.56455356123455,2.112694629207666,3.42957596084819,4.61312047875619,39192,0,1225,,,11.7,18.71,,0.0962,17.20,,,,,K,
"  1547 Nele (1929 CZ)",2.643356229171127,.2538339304501415,11.74722943114553,291.3626370900135,155.1331308452812,1.972382727940754,3.314329730401499,4.29775588566955,29563,0,991,,,10.75,,,,7.100,,.798,.355,,,TD
"  1548 Palomaa (1935 FK)",2.787561931049558,.07851645586312719,16.54555314652616,116.9539712817369,88.03926772004856,2.568692447724572,3.006431414374545,4.65419943964156,28836,0,947,,,11.50,26.46,,0.0634,7.4961,,,,,Xk,
"  1549 Mikko (1937 GA)",2.230730460288302,.08379714334424053,5.547126700627451,85.32623642073227,6.287917961058691,2.043801620145159,2.417659300431445,3.33179942250267,28081,0,1178,,,12.2,9.91,,0.3761,11.49,,,,,S,
"  1550 Tito (1937 WD)",2.545260277744555,.3120110720839566,8.859231073063885,64.78307091684984,310.3340140302402,1.751110889752767,3.339409665736342,4.06075232803976,26113,0,1510,,,11.8,,,,54.2,,,,,S,
"  1553 Bauersfelda (1940 AD)",2.907187282355983,.1021484466604731,3.235525683883158,110.977300698993,20.94601433391045,2.610222617312238,3.20415194739973,4.95698628670806,27074,0,1035,,,11.5,,,,,,,,,S,
